horse_id,horse_name,bloodline,rating,speed_rating,sprint_rating,endurance_rating,races_count,avg_position,best_position,total_stake,total_earnings,total_profit_loss,avg_odds,win_count,top3_count,avg_points_change,win_rate
8f137cb0-c9c8-4efd-aa5b-cfb5deee04ab,Master shieki,BUTERIN,3.0,3.0,,,3,4.33,4,1615.7340864,434.63843136,-1181.09565504,5.53,0,0,-1002.33,0.0
fa420aa1-4264-4f8c-9cf2-68ca5e270fbe,Homely Beginnings,BUTERIN,3.0,3.0,,,3,4.33,4,1833.399404928,682.9581621422088,-1150.4412427857912,7.6,0,0,-1002.0,0.0
75de015f-1bd3-4e32-a2d0-46504d52619e,Underground blues,BUTERIN,3.0,3.0,,,3,6.0,5,2164.4739648,88.5395575541647,-2075.9344072458352,15.23,0,0,-1024.0,0.0
ac704e35-1cd9-45dc-8fc4-0ff98e7d2a22,Triangular Guarantee,FINNEY,3.0,2.5,,,3,5.67,2,2264.3909795011764,1167.3103510588235,-1097.080628442353,29.67,0,1,-978.33,0.0
af2b38b9-0e72-427a-87f0-c4c5120b3dc5,Ivory,FINNEY,3.0,3.0,,,3,4.33,2,2337.446821920957,1414.7007764143366,-922.7460455066205,5.17,0,1,-983.33,0.0
71cfa679-4102-465a-80e3-ec0e92868c5c,Determined Trouble,NAKAMOTO,3.0,2.5,,,3,5.0,2,3027.6058429213754,1911.44853948634,-1116.1573034350354,4.97,0,1,-973.0,0.0
d5f57891-93f8-442e-9dd9-81b7aac1ecfc,Curaçao,SZABO,2.5,,,,3,6.0,5,2565.465610016912,1027.0332677826125,-1538.4323422342993,41.67,0,0,-966.0,0.0
ff0ad791-3246-4f1a-9449-a58098181607,Major,BUTERIN,3.0,2.0,,,3,6.33,4,2453.07049344,0.0,-2453.07049344,9.93,0,0,-1045.67,0.0
2aa270c2-abf5-4d32-94b3-2ac42b53ea73,Secret Gold,SZABO,3.0,3.0,,,3,4.67,2,3029.6036520857565,2379.899212537416,-649.70443954834,14.5,0,1,-992.33,0.0
90a3c298-2701-4048-aed4-62a86636cb65,Dixon Cider,FINNEY,2.5,2.5,,,3,4.33,2,2306.3176953317648,1963.190100858353,-343.12759447341176,15.33,0,2,-988.0,0.0
a1464cde-26af-4d6c-a37f-75ce542c8a3f,Popcat Popcat,FINNEY,3.0,,,,3,4.67,3,1317.2676093529412,0.0,-1317.2676093529412,7.8,0,1,-963.67,0.0
768956c2-24d0-4bcc-b5af-1d44d61b46aa,Enraged Kick,FINNEY,3.5,3.5,,,3,4.33,2,2133.00158085,1079.94200211,-1053.05957874,7.4,0,1,-977.67,0.0
e38b6112-7871-4509-88d5-377577fbaabf,I am Efficient,BUTERIN,3.0,3.0,,,3,4.67,4,1517.527872,0.0,-1517.527872,6.27,0,0,-1026.67,0.0
2804aee3-ffe0-4c3b-95b0-80f85d5b7b34,Purple Reign,FINNEY,3.0,2.5,,,3,4.0,2,2287.3398299052874,2596.149243884285,308.8094139789978,8.53,0,2,-971.0,0.0
08ae38fc-93c2-43c9-aaef-f9477d5d9428,Starting Over,SZABO,2.5,,,,3,6.67,5,1923.178221,368.66839364719334,-1554.5098273528067,15.03,0,0,-973.0,0.0
f85a3ea4-d1ed-412e-b8e5-8c15d2be2338,Ascian,FINNEY,3.0,2.5,,,3,4.0,3,2342.4248523800943,1810.6728181010444,-531.75203427905,10.63,0,2,-965.67,0.0
b8220bf8-459b-41cc-ba85-836eeeb65012,Marry Me Archie,BUTERIN,2.5,,,,3,6.33,5,1090.055232,0.0,-1090.055232,29.67,0,0,-982.0,0.0
c42163e5-bb74-49e7-a42b-d72b1c5d00c5,Bruised Cause,BUTERIN,2.5,,,,3,6.33,4,1554.7629888,0.0,-1554.7629888,38.33,0,0,-972.0,0.0
1f863f72-ae55-47de-bd2b-f94db106ad68,Bulky Proof,BUTERIN,2.5,,,,3,7.67,7,1615.7340864,0.0,-1615.7340864,14.83,0,0,-987.0,0.0
3cbd2afa-0b44-4ac8-b8fd-84b634509de7,Mario,NAKAMOTO,3.0,3.0,,,3,5.0,2,3020.759077298251,1324.949656129918,-1695.8094211683335,6.23,0,1,-975.33,0.0
b1843da4-957d-4b5b-b92b-7f33e1db5f6e,Horse,BUTERIN,3.0,2.5,,,3,5.33,2,1636.16277888,813.9979008,-822.16487808,10.2,0,1,-970.0,0.0
afbe020a-5641-4050-a06a-2014ffc9198d,Minerva,SZABO,2.5,,,,3,5.0,4,2361.2817437778112,436.3639017781142,-1924.9178419996972,54.0,0,0,-959.0,0.0
1b6bae2a-0f5f-4480-84a4-4c66998d7fc4,Vivid Safe,BUTERIN,2.5,,,,3,7.0,5,1554.7629888,0.0,-1554.7629888,8.2,0,0,-980.0,0.0
cf3eb880-2e36-4e5a-bf8d-f13bc1340f7a,Zany Employee,BUTERIN,3.0,2.5,,,3,6.67,5,2164.4739648,0.0,-2164.4739648,11.3,0,0,-1032.0,0.0
42f681d2-9c79-4e13-894e-78eff5c85072,Bullet Okeja,BUTERIN,3.0,3.0,,,3,5.0,4,2170.3136910336,58.397262336,-2111.9164286976,6.37,0,0,-1022.0,0.0
2a4c70e1-0de9-4936-9cc2-f20453f71591,Fartcoin,SZABO,3.0,3.0,,,3,2.67,2,2483.543937370355,2963.971902502703,480.427965132348,4.2,0,2,-966.33,0.0
3321c85a-fa3a-4881-8a18-0e960044ba74,Glitch,FINNEY,3.0,,,,3,5.0,4,2130.28843260273,158.85246974893911,-1971.435962853791,4.73,0,0,-973.33,0.0
3275f69d-e7c6-4d70-82e4-fb1950ef2d52,Passionate Legacy,SZABO,3.0,,,,3,6.67,5,2301.6145857935294,485.5227337239446,-1816.0918520695848,4.97,0,0,-971.0,0.0
cefe7b39-b091-4058-819a-f15374b29467,Evergreen Sun,FINNEY,2.5,,,,3,4.0,2,1282.46409,394.90659,-887.5575,14.5,0,1,-948.67,0.0
675ee04a-52d9-46b7-8bba-066e47ecc935,Tariffs,BUTERIN,3.0,,,,3,4.67,3,1371.849696,574.0507584,-797.7989376,20.5,0,1,-952.67,0.0
2480af71-0cab-4a9a-8061-70543f76b935,Warm Song,FINNEY,3.0,,,,3,4.33,4,1885.026721635,174.92381335125,-1710.10290828375,13.97,0,0,-962.33,0.0
4d190ebb-80b2-46ed-a4d8-7478d4b80da8,Fitting Complex,FINNEY,3.5,3.0,,,3,4.33,3,2302.70571522,1614.2468721142016,-688.4588431057986,4.07,0,2,-986.0,0.0
20bdc71d-5da4-4f07-9b3a-0ccbc334b190,Princess Plum,FINNEY,3.0,,,,3,7.0,6,1503.4919579338236,218.5658475617647,-1284.926110372059,12.93,0,0,-976.0,0.0
b701d8ad-633c-470a-9872-27e15d7d97ec,Cloudy Day,BUTERIN,3.0,,,,3,5.0,2,1371.849696,492.0435072,-879.8061888,7.07,0,1,-960.67,0.0
